job_id,title,company,location,description,skills,experience_level,salary_range
1,Python Developer,TechCorp,New York,"Develop and maintain Python-based web applications using Flask and Django. Work with REST APIs and databases.","Python, Flask, Django, REST API, SQL, Git",Mid-Level,$70,000 - $90,000
2,Data Scientist,DataAI Inc,San Francisco,"Analyze large datasets, build ML models, create visualizations and insights for business decisions.","Python, Machine Learning, Pandas, NumPy, Scikit-learn, TensorFlow, SQL",Senior,$100,000 - $130,000
3,Frontend Developer,WebStudio,Remote,"Build responsive web interfaces using React and modern JavaScript. Collaborate with designers.","JavaScript, React, HTML, CSS, TypeScript, Git",Junior,$50,000 - $70,000
4,Machine Learning Engineer,AITech,Seattle,"Design and deploy ML pipelines, work on NLP models, optimize model performance at scale.","Python, PyTorch, TensorFlow, NLP, Docker, Kubernetes, MLflow",Senior,$120,000 - $150,000
5,Backend Developer,CloudSoft,Austin,"Build scalable backend services, design APIs, work with microservices and cloud infrastructure.","Java, Spring Boot, AWS, Docker, REST API, PostgreSQL",Mid-Level,$80,000 - $100,000
6,Data Analyst,FinanceHub,Chicago,"Analyze financial data, create dashboards, generate reports, and support business strategy.","SQL, Python, Excel, Tableau, Power BI, Statistics",Entry-Level,$50,000 - $65,000
7,DevOps Engineer,InfraCloud,Boston,"Manage CI/CD pipelines, automate infrastructure, monitor systems and ensure high availability.","AWS, Docker, Kubernetes, Jenkins, Terraform, Linux, Python",Mid-Level,$90,000 - $115,000
8,NLP Engineer,LanguageAI,Remote,"Build natural language processing systems, chatbots, and text analysis pipelines.","Python, NLP, NLTK, SpaCy, Transformers, BERT, PyTorch",Senior,$110,000 - $140,000
9,Full Stack Developer,StartupXYZ,Miami,"Develop full stack web applications from database to UI. Work in an agile fast-paced environment.","Python, JavaScript, React, Node.js, MongoDB, SQL, Docker",Mid-Level,$75,000 - $95,000
10,AI Research Scientist,ResearchLab,Cambridge,"Conduct research in deep learning, publish papers, develop novel AI algorithms.","Python, PyTorch, TensorFlow, Deep Learning, Mathematics, Research",Senior,$130,000 - $160,000
11,Software Engineer,BigTech,Mountain View,"Design and implement large-scale distributed systems, optimize performance, write clean code.","C++, Python, Distributed Systems, Algorithms, Data Structures",Mid-Level,$110,000 - $140,000
12,Data Engineer,PipelinePro,Denver,"Build and maintain data pipelines, ETL processes, and data warehouses for analytics.","Python, Apache Spark, Kafka, SQL, AWS, Airflow, dbt",Mid-Level,$85,000 - $110,000
13,Cybersecurity Analyst,SecureIT,Washington DC,"Monitor security threats, conduct vulnerability assessments, implement security protocols.","Network Security, Python, SIEM, Penetration Testing, Linux",Mid-Level,$80,000 - $100,000
14,iOS Developer,MobileApps,Los Angeles,"Build and maintain iOS applications, work with Swift, integrate APIs and backend services.","Swift, Xcode, iOS SDK, REST API, Git, Agile",Mid-Level,$85,000 - $105,000
15,Cloud Architect,CloudVision,Dallas,"Design and implement cloud solutions on AWS/Azure, optimize costs, ensure scalability.","AWS, Azure, GCP, Terraform, Docker, Kubernetes, Architecture",Senior,$130,000 - $160,000
16,Business Intelligence Developer,InsightCo,Phoenix,"Create BI solutions, build dashboards, design data models for business reporting.","SQL, Tableau, Power BI, Python, Data Modeling, ETL",Mid-Level,$70,000 - $90,000
17,React Developer,UIFactory,Portland,"Build modern web UIs with React, implement state management, optimize performance.","React, JavaScript, TypeScript, Redux, HTML, CSS, Testing",Mid-Level,$75,000 - $95,000
18,Computer Vision Engineer,VisionAI,San Diego,"Develop computer vision algorithms, work on image recognition and object detection systems.","Python, OpenCV, TensorFlow, PyTorch, Deep Learning, Computer Vision",Senior,$115,000 - $145,000
19,Database Administrator,DataSystems,Atlanta,"Manage and optimize databases, ensure data integrity, handle backups and security.","SQL, Oracle, PostgreSQL, MySQL, Performance Tuning, Backup",Mid-Level,$75,000 - $95,000
20,Blockchain Developer,CryptoTech,Austin,"Develop smart contracts, build decentralized applications (DApps), work with Ethereum.","Solidity, Ethereum, Web3.js, JavaScript, Python, Blockchain",Senior,$100,000 - $130,000
